Name,Latitude,Longitude,Direction,People Waiting
EGLINTON AVE WEST AT COMMERCE BLVD EAST SIDE,43.662754,-79.590607,eastbound,2
EGLINTON AVE WEST AT RENFORTH DR,43.666757,-79.587469,westbound,7
EGLINTON AVE WEST AT RENFORTH DR EAST SIDE,43.666543,-79.587065,eastbound,9
EGLINTON AVE WEST AT OPPOSITE WALKWAY TO RANGOON RD,43.670682,-79.577791,westbound,8
EGLINTON AVE WEST AT WALKWAY TO RANGOON RD,43.670474,-79.577739,eastbound,6
EGLINTON AVE WEST AT THE EAST MALL,43.671654,-79.571438,westbound,7
EGLINTON AVE WEST AT THE EAST MALL,43.672032,-79.571143,eastbound,14
EGLINTON AVE WEST AT MARTIN GROVE RD,43.674662,-79.562929,westbound,7
EGLINTON AVE WEST AT MARTIN GROVE RD EAST SIDE,43.67442,-79.562591,eastbound,20
EGLINTON AVE WEST AT WIDDICOMBE HILL BLVD WEST SIDE,43.675664,-79.558038,westbound,6
EGLINTON AVE WEST AT LLOYD MANOR RD,43.675433,-79.558022,eastbound,3
EGLINTON AVE WEST AT KIPLING AVE,43.677014,-79.551181,westbound,2
EGLINTON AVE WEST AT KIPLING AVE,43.677368,-79.550642,eastbound,13
EGLINTON AVE WEST AT BEMERSYDE DR,43.678401,-79.545008,westbound,5
EGLINTON AVE WEST AT WINCOTT DR,43.678667,-79.544745,eastbound,6
EGLINTON AVE WEST AT ISLINGTON AVE,43.679694,-79.539177,westbound,8
EGLINTON AVE WEST AT ISLINGTON AVE,43.679988,-79.538778,eastbound,10
EGLINTON AVE WEST AT EDEN VALLEY DR,43.680945,-79.533052,westbound,8
EGLINTON AVE WEST AT RUSSELL RD,43.681231,-79.532617,eastbound,20
EGLINTON AVE WEST AT ROYAL YORK RD,43.682131,-79.526845,westbound,19
EGLINTON AVE WEST AT ROYAL YORK RD,43.68247,-79.526336,westbound,11
EGLINTON AVE WEST AT ROYAL YORK RD EAST SIDE,43.682279,-79.526015,eastbound,16
4005 EGLINTON AVE WEST (SCARLETT HEIGHTS RESIDENCE),43.682744,-79.520347,eastbound,20
EGLINTON AVE WEST AT WALKWAY TO LEMONWOOD DR,43.683512,-79.516898,westbound,2
EGLINTON AVE WEST AT WALKWAY TO LEMONWOOD DR,43.683352,-79.516419,eastbound,12
EGLINTON AVE WEST AT SCARLETT RD,43.683789,-79.511557,westbound,2
EGLINTON AVE WEST AT SCARLETT RD,43.6841,-79.511249,eastbound,3
EGLINTON AVE WEST AT WALKWAY TO EMMETT AVE,43.684593,-79.508136,westbound,2
EGLINTON AVE WEST AT EMMETT AVENUE,43.684309,-79.504438,eastbound,14
EGLINTON AVE WEST AT EMMETT AVENUE,43.684382,-79.503971,westbound,19
EGLINTON AVE WEST AT JANE ST,43.684263,-79.499094,eastbound,20
EGLINTON AVE WEST AT JANE ST,43.684665,-79.498543,westbound,12
EGLINTON AVE WEST AT JANE ST EAST SIDE,43.68452,-79.498076,eastbound,11
3588 EGLINTON AVE WEST,43.686132,-79.493369,westbound,10
3561 EGLINTON AVE WEST,43.686138,-79.492641,eastbound,19
EGLINTON AVE WEST AT WESTON RD,43.68671,-79.489925,westbound,2
EGLINTON AVE WEST AT WESTON RD,43.687153,-79.489369,eastbound,9
EGLINTON AVE WEST AT BLACK CREEK DR WEST SIDE,43.688343,-79.483304,westbound,6
EGLINTON AVE WEST AT BLACK CREEK DR,43.688149,-79.483113,eastbound,15
EGLINTON AVE WEST AT MUNICIPAL DR (YORK CIVIC CENTRE),43.689752,-79.477026,westbound,5
EGLINTON AVE WEST AT BICKNELL AVE EAST SIDE (YORK CIVIC CTR),43.689681,-79.476781,eastbound,11
EGLINTON AVE WEST AT KEELE ST/TRETHEWEY DR,43.689983,-79.475292,westbound,6
EGLINTON AVE WEST AT KEELE ST EAST SIDE,43.690316,-79.473978,eastbound,13
EGLINTON AVE WEST AT KEELE ST,43.690531,-79.473755,westbound,7
EGLINTON AVE WEST AT SCOTT RD,43.690592,-79.47281,eastbound,20
EGLINTON AVE WEST AT RICHARDSON AVE,43.691058,-79.471319,westbound,14
EGLINTON AVE WEST AT KANE AVE EAST SIDE,43.691218,-79.470015,eastbound,3
EGLINTON AVE WEST AT GLENHAVEN ST WEST SIDE,43.691366,-79.469903,westbound,5
EGLINTON AVE WEST AT GABIAN WAY,43.691651,-79.467936,eastbound,2
EGLINTON AVE WEST AT GABIAN WAY,43.691865,-79.467349,westbound,4
EGLINTON AVE WEST AT BLACKTHORN AVE,43.691842,-79.465459,eastbound,7
EGLINTON AVE WEST AT BLACKTHORN AVE,43.692037,-79.465167,westbound,3
EGLINTON AVE WEST AT GILBERT AVE,43.692512,-79.463573,eastbound,5
EGLINTON AVE WEST AT CALEDONIA RD,43.692905,-79.462355,westbound,6
EGLINTON AVE WEST AT CALEDONIA RD,43.693177,-79.46177,eastbound,7
EGLINTON AVE WEST AT MONTCALM AVE,43.693699,-79.459547,westbound,16
EGLINTON AVE WEST AT LITTLE BLVD,43.693751,-79.458683,eastbound,1
EGLINTON AVE WEST AT RONALD AVE,43.694247,-79.456973,westbound,8
EGLINTON AVE WEST AT NAIRN AVE,43.694343,-79.456028,eastbound,9
EGLINTON AVE WEST AT ENNERDALE RD,43.694869,-79.453583,westbound,2
EGLINTON AVE WEST AT ENNERDALE RD,43.695064,-79.453323,eastbound,14
EGLINTON AVE WEST AT SHORTT WEST SIDE,43.695401,-79.451953,westbound,20
EGLINTON AVE WEST AT DYNEVOR RD,43.695343,-79.451587,eastbound,4
EGLINTON AVE WEST AT NORTHCLIFFE BLVD,43.696164,-79.447778,westbound,6
EGLINTON AVE WEST AT LOCKSLEY AVE,43.696414,-79.447136,eastbound,10
EGLINTON AVE WEST AT GLENHOLME AVE,43.696671,-79.445418,westbound,17
EGLINTON AVE WEST AT GLENHOLME AVE,43.696854,-79.445081,eastbound,19
EGLINTON AVE WEST AT OAKWOOD AVE,43.697197,-79.442946,westbound,18
EGLINTON AVE WEST AT OAKWOOD AVE,43.697418,-79.442561,eastbound,12
EGLINTON AVE WEST AT MARLEE AVE,43.697932,-79.439508,westbound,1
EGLINTON AVE WEST AT MARLEE AVE,43.698127,-79.439204,eastbound,1
EGLINTON AVE WEST AT WESTOVER HILL RD,43.699305,-79.433091,westbound,8
EGLINTON AVE WEST AT GLENARDEN RD,43.699564,-79.432546,eastbound,6
EGLINTON AVE WEST AT GLEN CEDAR RD,43.699728,-79.431124,westbound,18
EGLINTON AVE WEST AT OLD PARK RD,43.699989,-79.430703,eastbound,15
EGLINTON AVE WEST AT CHILTERN HILL RD,43.700418,-79.427874,westbound,6
EGLINTON AVE WEST AT HILLTOP RD,43.70065,-79.427436,eastbound,20
EGLINTON AVE WEST AT BATHURST ST EAST SIDE,43.701216,-79.424063,westbound,9
EGLINTON AVE WEST AT OLD FOREST HILL RD,43.701626,-79.42291,westbound,3
EGLINTON AVE WEST AT OLD FOREST HILL RD EAST SIDE,43.701517,-79.422636,eastbound,19
EGLINTON AVE WEST AT VESTA DR,43.702097,-79.420708,westbound,3
EGLINTON AVE WEST AT GARDINER RD,43.702096,-79.419973,eastbound,6
EGLINTON AVE WEST AT SPADINA RD,43.702476,-79.418838,eastbound,18
